Member_number,itemDescription
2760,sausage
4249,canned beer
2904,specialty chocolate
4090,curd
3060,canned beer
3768,whole milk
1232,rolls/buns
1360,pork
1107,citrus fruit
2865,pot plants
2958,rolls/buns
2448,butter
1222,condensed milk
2943,sausage
2270,whole milk
3812,sausage
1482,beverages
4720,beverages
1344,bottled water
2397,newspapers
4182,cleaner
4487,sausage
3467,newspapers
2443,sausage
2749,misc. beverages
4389,white wine
1674,sausage
4262,meat
2082,frankfurter
4494,ice cream
2460,canned beer
4509,tropical fruit
2267,meat
4891,whole milk
3962,sausage
4964,frankfurter
2914,meat
2808,root vegetables
1085,root vegetables
3808,whole milk
4149,citrus fruit
2331,citrus fruit
4475,other vegetables
2761,citrus fruit
2620,sausage
3206,frankfurter
1226,hard cheese
1395,cream cheese 
2465,turkey
3572,pork
4387,whole milk
1555,rolls/buns
1181,sausage
2814,ice cream
2794,liquor
2912,pip fruit
4667,root vegetables
2235,soda
2353,soda
3449,sausage
1058,root vegetables
1027,pork
3302,pork
2229,chocolate
2188,fruit/vegetable juice
1547,pickled vegetables
1649,bottled water
3254,frankfurter
2818,tropical fruit
2703,canned beer
3332,root vegetables
2473,meat
2810,frankfurter
1033,tropical fruit
4222,tropical fruit
3679,citrus fruit
2212,hamburger meat
1507,chicken
2870,chicken
3429,frankfurter
4148,canned beer
2970,turkey
2013,packaged fruit/vegetables
3967,pasta
2885,citrus fruit
3935,sausage
3283,whole milk
3268,canned beer
3677,citrus fruit
3495,liquor (appetizer)
1410,citrus fruit
2440,sausage
4088,chicken
2469,hamburger meat
4229,sausage
2728,beef
4694,citrus fruit
2836,UHT-milk
1311,candy
1760,newspapers
3656,beef
3720,sausage
2996,frankfurter
1949,canned beer
4498,bottled beer
2447,onions
1952,tropical fruit
4099,bottled water
1804,beef
1510,sausage
2879,hair spray
4899,chicken
4326,pork
1670,ice cream
1117,meat
1346,other vegetables
1178,bottled water
1649,tropical fruit
4651,photo/film
4243,sausage
4429,grapes
4645,domestic eggs
4019,rolls/buns
4459,tropical fruit
3006,chicken
1834,frankfurter
3236,berries
1765,margarine
3855,tropical fruit
4392,ham
3330,hamburger meat
1723,yogurt
4110,soda
2600,yogurt
2946,soda
2426,bottled water
4170,sausage
1109,citrus fruit
3429,shopping bags
2055,newspapers
2480,frankfurter
2441,sausage
1054,frankfurter
4818,salt
3379,oil
3939,curd
1367,other vegetables
1043,citrus fruit
2231,frankfurter
3235,root vegetables
4554,tropical fruit
3245,beef
2996,berries
2507,canned beer
4186,whipped/sour cream
3929,root vegetables
3760,whole milk
4928,beef
4217,frozen vegetables
1174,rolls/buns
4103,whole milk
4408,whole milk
2588,citrus fruit
2598,pastry
1518,frankfurter
2702,tropical fruit
1001,frankfurter
2270,berries
2838,rolls/buns
1683,root vegetables
4040,yogurt
3897,other vegetables
2200,berries
4073,berries
3700,other vegetables
3973,rolls/buns
2715,ham
3967,whole milk
4002,tropical fruit
2962,bottled water
4340,butter milk
2092,newspapers
3143,coffee
2209,bottled beer
2816,onions
2659,hamburger meat
1588,sausage
1144,hard cheese
2166,sausage
3300,hamburger meat
3944,onions
4979,coffee
2630,shopping bags
4240,yogurt
2357,soda
1743,sliced cheese
2331,sausage
1643,yogurt
1291,domestic eggs
3675,whole milk
4134,meat
1363,dish cleaner
4212,other vegetables
1500,whole milk
2622,other vegetables
3543,tropical fruit
2525,baking powder
1264,specialty bar
3601,ice cream
1771,frankfurter
4694,canned beer
1122,bottled water
3507,other vegetables
4524,citrus fruit
3612,sausage
3262,domestic eggs
1897,pork
1656,specialty cheese
3953,pork
1488,beef
1652,other vegetables
4953,chicken
3445,soda
3180,whole milk
4934,rolls/buns
2980,bottled beer
2763,root vegetables
4819,pastry
3169,berries
1850,citrus fruit
4285,whole milk
4366,soda
2253,bottled water
3398,tropical fruit
2215,salty snack
3737,bottled water
2649,chocolate
3203,citrus fruit
4261,bottled water
2435,onions
2046,dessert
4267,beef
1086,rolls/buns
1992,beef
3622,soda
4700,coffee
2272,rolls/buns
1663,pork
2519,soda
2639,sausage
1466,beef
4122,whole milk
3598,pork
3097,berries
1873,sausage
1537,bottled water
3960,tropical fruit
1136,herbs
2453,yogurt
1746,Instant food products
3572,specialty chocolate
3246,coffee
3207,bottled beer
1042,beef
1176,whole milk
3054,frankfurter
4486,frankfurter
1580,other vegetables
1623,frankfurter
4169,whole milk
2254,frankfurter
4095,other vegetables
1264,bottled water
3375,pork
3242,bottled water
2227,other vegetables
3847,hamburger meat
3897,hamburger meat
1799,shopping bags
2920,whole milk
3713,ice cream
4230,pastry
1455,ham
3687,frankfurter
3869,sausage
2988,bottled beer
4242,bottled water
4118,meat
4996,dessert
4489,other vegetables
1199,beverages
4108,ham
3484,specialty bar
1239,brown bread
4839,whole milk
4748,rolls/buns
4426,bottled beer
3571,pet care
2852,citrus fruit
3638,pork
3635,other vegetables
2723,white wine
3495,whole milk
2813,pip fruit
2799,sugar
4723,tropical fruit
3313,root vegetables
4748,soda
2991,whole milk
1483,tropical fruit
3950,white bread
1634,brown bread
2694,tropical fruit
2707,domestic eggs
2813,coffee
2276,soda
4726,whole milk
4353,bottled beer
4017,pork
1422,other vegetables
2714,yogurt
2769,sparkling wine
4166,bottled water
3614,citrus fruit
4361,hamburger meat
1922,packaged fruit/vegetables
4728,other vegetables
3646,soda
1155,whole milk
2119,herbs
1602,citrus fruit
1074,misc. beverages
2256,female sanitary products
1348,soda
3806,tropical fruit
1711,soda
3959,white bread
1590,coffee
1962,tropical fruit
1766,pork
2551,citrus fruit
2294,frankfurter
4531,frankfurter
2957,frankfurter
4415,other vegetables
1476,yogurt
3978,sausage
2062,whole milk
3252,pip fruit
3922,whole milk
1491,root vegetables
3526,onions
4060,specialty chocolate
1067,hamburger meat
2840,photo/film
4484,rolls/buns
2353,canned beer
3130,canned beer
4273,other vegetables
4565,canned beer
2504,curd
4127,butter
2690,other vegetables
4129,whole milk
4511,beef
1602,sausage
4369,soda
1302,fruit/vegetable juice
3326,rolls/buns
2066,pip fruit
3483,frozen vegetables
2840,beverages
1807,hamburger meat
2067,root vegetables
3783,canned beer
2884,frozen vegetables
2908,canned beer
1330,newspapers
2293,rolls/buns
3718,hamburger meat
4338,pip fruit
3486,canned beer
3635,grapes
2857,root vegetables
3684,citrus fruit
3120,cling film/bags
3872,frankfurter
2777,whole milk
2702,pork
4796,chicken
1564,sausage
2740,specialty bar
1833,whipped/sour cream
1757,root vegetables
2975,rolls/buns
4032,other vegetables
3979,citrus fruit
3772,whole milk
4523,frankfurter
4004,coffee
2936,ham
2394,canned beer
4616,canned beer
2362,canned beer
3593,pip fruit
4389,pork
3206,soap
4601,pip fruit
4382,beef
2718,sausage
4691,frozen chicken
3735,soda
3900,tropical fruit
4959,other vegetables
1815,beef
2454,meat
4778,meat
2289,bottled water
1734,rolls/buns
4019,pastry
4605,pork
4864,pip fruit
4205,beef
1862,beef
1846,rolls/buns
2019,citrus fruit
2042,meat
1768,beverages
3847,beef
3557,ham
3975,hamburger meat
4198,beef
2580,beef
3474,root vegetables
1678,citrus fruit
4254,yogurt
4704,tropical fruit
3343,frankfurter
3812,beef
3093,shopping bags
2170,canned beer
4867,rolls/buns
3899,other vegetables
2941,hamburger meat
1958,hamburger meat
2760,frankfurter
4413,bottled beer
1737,tropical fruit
4202,soda
1065,frankfurter
3819,chicken
2854,coffee
4387,whole milk
4530,margarine
4191,tropical fruit
3102,meat
1946,cream cheese 
2156,newspapers
1444,rolls/buns
1699,citrus fruit
4954,whole milk
2207,frankfurter
4826,ham
2374,frankfurter
1604,sausage
4437,domestic eggs
2319,whole milk
3018,rolls/buns
1195,whole milk
1768,sausage
3017,curd
3384,bottled water
1918,beef
2524,frankfurter
2798,chicken
2096,sausage
1489,pork
1431,yogurt
2747,whole milk
3054,frankfurter
2691,beef
1752,pip fruit
3027,sausage
4452,pastry
4129,chicken
3523,root vegetables
2128,whole milk
4867,detergent
4762,rolls/buns
1632,house keeping products
4018,yogurt
1722,tropical fruit
1438,tropical fruit
3958,curd
3292,beef
2861,whole milk
1757,pork
1509,other vegetables
2364,rolls/buns
3084,frankfurter
1850,yogurt
1949,whole milk
4740,bottled water
1072,frankfurter
4196,rolls/buns
4814,whole milk
1514,rolls/buns
4584,chicken
2751,tropical fruit
4155,sausage
4670,sausage
4566,frankfurter
2371,UHT-milk
3442,rolls/buns
3090,canned beer
1457,yogurt
4952,whipped/sour cream
3165,rolls/buns
2608,rolls/buns
2040,beverages
1327,rolls/buns
3363,rolls/buns
1731,bottled beer
2760,citrus fruit
3120,bottled water
1332,pastry
4530,domestic eggs
3145,beef
1099,spread cheese
3188,tropical fruit
3748,packaged fruit/vegetables
4655,whole milk
1827,meat
2485,onions
4683,frankfurter
4358,beef
1931,beef
2490,sausage
4842,chicken
4616,canned beer
2810,sausage
2785,tropical fruit
3591,frankfurter
3896,sausage
3842,beef
2648,tropical fruit
4688,yogurt
3511,frankfurter
3084,bottled beer
3810,grapes
4348,beverages
3584,curd
2620,ice cream
2716,sausage
3797,other vegetables
2976,dessert
2762,decalcifier
3752,canned beer
1659,coffee
4109,berries
1542,pork
2068,frankfurter
4509,pork
4646,frankfurter
2122,frozen dessert
2730,chicken
1800,vinegar
1456,rolls/buns
1138,whole milk
4104,pork
4985,rolls/buns
3181,grapes
3178,frankfurter
1688,finished products
1488,onions
4975,tropical fruit
4697,other vegetables
4742,ham
2640,other vegetables
2548,curd
2825,sausage
2592,canned beer
3622,ham
4852,packaged fruit/vegetables
1839,meat
2413,whole milk
2982,canned beer
1981,chicken
4440,rolls/buns
3497,pet care
3668,root vegetables
4460,pastry
1335,frankfurter
4303,chicken
3508,frozen dessert
1959,citrus fruit
3856,sausage
3141,root vegetables
4640,root vegetables
4851,bottled beer
3306,frankfurter
2193,root vegetables
1156,berries
4596,hamburger meat
1245,tropical fruit
1515,frankfurter
2564,frankfurter
4527,soda
2487,ice cream
3420,beef
4442,whole milk
3164,pork
3601,whole milk
3176,bottled beer
2568,pork
1856,root vegetables
3859,canned beer
1668,citrus fruit
4499,pip fruit
1753,root vegetables
3829,tropical fruit
4825,beef
3694,chicken
4147,citrus fruit
2196,meat
2229,cream cheese 
4724,citrus fruit
3066,specialty bar
1120,meat
4769,citrus fruit
4711,frankfurter
2391,citrus fruit
1216,turkey
3154,citrus fruit
3911,sausage
3111,newspapers
1385,whole milk
1158,yogurt
2733,yogurt
4999,bottled water
2882,berries
2590,packaged fruit/vegetables
4249,frankfurter
3012,nuts/prunes
1533,citrus fruit
1667,beef
4323,whole milk
2087,other vegetables
1853,beef
2157,fish
1136,other vegetables
2049,tropical fruit
3122,coffee
2245,sausage
4746,meat
4224,chicken
4219,berries
2641,frozen meals
3173,whipped/sour cream
2191,beef
4212,chicken
1902,chicken
1347,beef
1578,packaged fruit/vegetables
1264,sugar
4632,frankfurter
3452,berries
4822,bottled water
3987,sausage
1672,whole milk
4864,ice cream
3368,frankfurter
1283,root vegetables
4428,sausage
2577,sausage
1973,beef
3284,fruit/vegetable juice
1905,sugar
2226,berries
1932,yogurt
4506,pork
1843,bottled beer
3973,curd
1651,beef
3997,pork
4796,white bread
1245,grapes
3579,potato products
4387,root vegetables
2496,chicken
3590,chicken
2890,fish
1401,canned beer
3297,other vegetables
2867,chicken
1365,other vegetables
2355,tropical fruit
1170,whole milk
3554,beef
4171,sausage
3963,whole milk
3076,rolls/buns
1629,citrus fruit
1366,whole milk
3677,pastry
2844,tropical fruit
4509,sliced cheese
3245,soda
2294,ham
1234,salty snack
3001,whole milk
3587,root vegetables
2700,soda
3838,curd
4045,bottled water
1858,packaged fruit/vegetables
2280,tropical fruit
2454,ham
4437,pork
1685,beverages
2349,sausage
1463,sausage
3470,root vegetables
4914,whole milk
2448,frankfurter
3387,soda
3167,soda
3175,frankfurter
2678,berries
4627,canned beer
1773,frankfurter
3100,frankfurter
3232,berries
3673,frankfurter
4068,newspapers
2340,frozen fish
1930,tropical fruit
3526,beef
1617,rolls/buns
1028,specialty chocolate
4440,sparkling wine
3554,citrus fruit
1632,onions
1429,whole milk
1225,photo/film
2509,hamburger meat
4945,other vegetables
4342,whole milk
1832,pork
1518,tropical fruit
1512,chicken
4818,other vegetables
4686,sausage
4986,whole milk
2755,rolls/buns
4532,hygiene articles
2070,ice cream
1894,curd
3473,whole milk
2140,onions
3286,finished products
4729,salt
3204,tropical fruit
1574,other vegetables
3361,chocolate
1776,ice cream
2009,tropical fruit
3479,frankfurter
2394,butter
1337,other vegetables
3574,tropical fruit
1727,citrus fruit
1016,UHT-milk
4326,beef
2212,curd
1990,citrus fruit
3836,yogurt
4560,bottled beer
1119,grapes
1379,pork
1658,sausage
2948,frankfurter
1273,artif. sweetener
1155,frankfurter
1672,pip fruit
3841,frankfurter
1683,whole milk
1774,domestic eggs
4441,packaged fruit/vegetables
1929,chicken
1273,pork
2920,citrus fruit
2467,light bulbs
2678,cream cheese 
3423,sausage
4223,citrus fruit
2846,other vegetables
4103,chicken
4789,ice cream
4916,pork
2518,pork
2622,onions
4321,tropical fruit
2050,whipped/sour cream
2146,berries
3938,berries
1636,rolls/buns
4694,ice cream
2432,coffee
4937,whole milk
1293,whole milk
2883,citrus fruit
2267,beef
3997,pork
4792,turkey
2292,margarine
1018,butter milk
4922,beef
3151,bottled water
2517,pip fruit
1499,whole milk
4993,chocolate
1606,frankfurter
2918,whole milk
1815,sausage
4524,grapes
1395,brown bread
3456,root vegetables
1597,UHT-milk
2315,onions
4095,beef
3680,pork
2847,canned beer
3426,yogurt
4750,yogurt
1384,pip fruit
3120,meat
1081,coffee
1171,bottled water
4932,bottled beer
4189,sausage
4455,shopping bags
2928,pork
4817,frankfurter
4257,ice cream
4254,root vegetables
4071,sausage
2109,sausage
1412,root vegetables
4088,canned vegetables
4056,tropical fruit
4441,grapes
4363,whole milk
2107,frankfurter
2941,dessert
1497,shopping bags
2211,butter
3510,frankfurter
4074,pork
3190,whole milk
2297,brown bread
3311,frozen fish
3085,soda
3693,whole milk
4859,pork
2125,whipped/sour cream
2261,frankfurter
3679,grapes
4165,sausage
3538,citrus fruit
3913,ham
2336,chewing gum
3549,beef
4434,beef
2854,other vegetables
3413,frankfurter
1780,canned fish
2899,sausage
2106,bottled water
3929,specialty cheese
3857,bottled water
4459,bottled water
4551,chicken
4042,frankfurter
2599,chicken
1045,chicken
4677,butter
1580,citrus fruit
3269,whipped/sour cream
4368,frankfurter
1111,beef
4841,chicken
3047,sausage
4349,citrus fruit
3580,ice cream
2370,specialty chocolate
3094,frankfurter
1146,pork
2287,UHT-milk
3911,UHT-milk
4891,cookware
4837,citrus fruit
4464,sausage
2940,frankfurter
4972,citrus fruit
4890,ham
4295,ham
2729,bottled water
1125,popcorn
1850,tropical fruit
2928,frankfurter
3717,hamburger meat
3809,soda
3437,sausage
1481,yogurt
1050,meat
2918,red/blush wine
4499,UHT-milk
4117,brown bread
1630,semi-finished bread
3715,whole milk
3512,cat food
1197,citrus fruit
3958,citrus fruit
4890,meat
3112,rolls/buns
4502,root vegetables
4719,tropical fruit
1516,brown bread
4281,shopping bags
1566,grapes
4641,ham
2561,root vegetables
2344,ice cream
2643,tropical fruit
3236,finished products
4863,dessert
2264,sparkling wine
3168,other vegetables
1282,misc. beverages
2832,other vegetables
3067,misc. beverages
1847,dessert
3525,frankfurter
1231,sausage
3471,meat
2421,sausage
4092,onions
1577,beef
3463,pip fruit
3518,ham
4325,yogurt
4947,citrus fruit
2194,other vegetables
2868,pork
3211,bathroom cleaner
4537,ham
2243,grapes
2399,pastry
4133,citrus fruit
2937,photo/film
1029,dessert
4384,citrus fruit
3756,soda
1646,chewing gum
3066,root vegetables
1259,pork
2245,turkey
3289,tropical fruit
3742,sausage
4537,sausage
4531,pork
3764,sausage
1581,grapes
2859,grapes
2175,other vegetables
1301,pot plants
3465,bottled water
2203,prosecco
2113,UHT-milk
3072,bottled water
2805,rolls/buns
2511,specialty chocolate
2120,beef
2346,tropical fruit
2071,beef
2610,rolls/buns
3489,berries
3458,sausage
4869,chicken
2580,sausage
3305,shopping bags
3811,canned beer
1782,soda
3050,yogurt
4924,rolls/buns
1480,rolls/buns
3508,whole milk
2545,citrus fruit
3638,citrus fruit
3971,brown bread
4536,tropical fruit
2707,frankfurter
1382,coffee
4648,ham
2699,other vegetables
3119,sausage
4695,pork
4778,citrus fruit
3451,tropical fruit
2221,other vegetables
4217,pork
1334,chicken
2499,root vegetables
3585,citrus fruit
3161,fruit/vegetable juice
2434,beef
4448,frankfurter
4597,frankfurter
4584,beef
1606,ham
3323,shopping bags
1308,pork
1331,condensed milk
2386,chicken
3910,sausage
4274,bottled beer
3101,chicken
4416,finished products
2375,pork
1819,root vegetables
3981,domestic eggs
3553,domestic eggs
3846,bottled water
3037,cling film/bags
3469,other vegetables
1601,whole milk
4040,sausage
3926,sausage
4201,tropical fruit
4274,frankfurter
2665,frozen potato products
3153,frankfurter
2691,frankfurter
4022,chicken
3716,tropical fruit
4537,bottled beer
4875,citrus fruit
3822,hamburger meat
3609,chicken
4428,pork
3947,rolls/buns
2448,bottled water
2688,sausage
3764,frozen potato products
4523,frankfurter
3698,sausage
3898,tropical fruit
1761,bottled beer
2689,bottled beer
1627,rolls/buns
4629,citrus fruit
2790,yogurt
4496,turkey
1934,soda
2513,canned beer
3298,canned beer
4214,sausage
2480,pork
4962,Instant food products
3960,frankfurter
2074,oil
2625,chicken
1557,beef
2007,dessert
2120,pork
4289,curd
2356,chicken
4301,whipped/sour cream
2950,frankfurter
2263,frankfurter
3186,liver loaf
2655,pork
1491,frankfurter
2069,pork
3012,pork
2681,soda
4144,root vegetables
3919,whipped/sour cream
2777,chocolate
4119,whole milk
3597,pork
2110,coffee
3523,rolls/buns
3364,citrus fruit
3759,citrus fruit
4014,soda
3140,cream cheese 
2787,soda
2525,chicken
2555,frozen fish
2419,sausage
4257,beef
4267,ham
2364,chicken
4008,herbs
1231,grapes
1651,tropical fruit
1371,frankfurter
2501,onions
1467,sausage
1015,citrus fruit
4697,hamburger meat
2727,frankfurter
3592,sausage
1279,root vegetables
1708,oil
2305,canned beer
3294,newspapers
4147,pip fruit
3850,coffee
1624,red/blush wine
3023,onions
2771,frankfurter
1144,meat
3938,whole milk
4180,dessert
1053,hamburger meat
2671,chewing gum
2001,bottled water
2095,beverages
3245,whole milk
4878,citrus fruit
3489,tropical fruit
3300,cat food
3090,whole milk
4441,soda
1242,sausage
1190,root vegetables
1983,berries
1872,other vegetables
4291,sausage
4400,beverages
1628,chicken
1345,whole milk
2732,sausage
3410,ham
1920,whole milk
3241,root vegetables
2962,citrus fruit
2492,frankfurter
2416,ice cream
1538,sausage
3801,root vegetables
3202,ham
4471,coffee
4939,citrus fruit
2575,pot plants
4419,other vegetables
4217,whole milk
1968,zwieback
3084,chicken
4807,butter
4781,ham
2432,whole milk
2951,citrus fruit
1452,ham
1603,canned beer
4727,frankfurter
4751,chicken
4296,frankfurter
2555,bottled beer
1416,other vegetables
1919,frozen potato products
2069,chicken
4509,sausage
4864,canned beer
1575,yogurt
2969,frozen meals
4301,canned fruit
3855,butter
3202,yogurt
2167,citrus fruit
4148,meat
2517,root vegetables
2840,frankfurter
1212,tropical fruit
2735,yogurt
1212,root vegetables
1324,yogurt
2431,oil
4526,citrus fruit
1662,beef
3802,citrus fruit
2532,dessert
1316,curd
2304,bottled water
1955,sausage
2243,herbs
3859,dog food
3156,packaged fruit/vegetables
4605,frankfurter
1864,finished products
4102,oil
4835,curd
1668,herbs
3130,sausage
1110,whole milk
2240,sausage
4647,soda
3872,whole milk
3184,root vegetables
4623,sugar
2111,cream cheese 
3068,other vegetables
4533,frozen fruits
3926,whipped/sour cream
1605,yogurt
4468,pork
2041,grapes
3835,whole milk
3601,sausage
2307,canned beer
1767,meat
4251,soda
1365,bottled beer
1665,whole milk
2447,chicken
4825,pip fruit
4844,pork
3319,oil
2536,whole milk
1857,pip fruit
4133,root vegetables
2128,ham
1793,ice cream
3445,sausage
2041,detergent
1178,oil
2080,tropical fruit
1928,photo/film
2884,UHT-milk
3532,meat
1892,grapes
2880,liver loaf
2033,beef
3176,root vegetables
3768,pork
3404,butter milk
3891,brown bread
2974,herbs
3831,newspapers
1924,brandy
4182,pastry
1811,beverages
1283,UHT-milk
2154,cream cheese 
4543,rolls/buns
4642,rolls/buns
2360,rolls/buns
3231,sausage
1356,hard cheese
4895,canned beer
3390,canned beer
4495,citrus fruit
1202,yogurt
1811,yogurt
4996,salty snack
3291,tropical fruit
1878,citrus fruit
1483,rolls/buns
4683,whipped/sour cream
4386,citrus fruit
4825,butter milk
2549,other vegetables
4965,canned beer
3251,soda
4932,tropical fruit
3986,coffee
1616,ham
1239,whipped/sour cream
4993,citrus fruit
2762,dessert
1035,whole milk
4717,canned beer
4662,rolls/buns
4267,fish
3500,meat
4866,sausage
2492,other vegetables
1044,tropical fruit
2070,baby cosmetics
3761,citrus fruit
1145,tropical fruit
3324,spices
4455,sausage
3465,sausage
3940,beef
4934,canned beer
3793,canned beer
2956,rolls/buns
3662,whole milk
3755,root vegetables
4173,yogurt
3353,onions
2193,hamburger meat
2086,napkins
1570,other vegetables
1233,chicken
4647,meat
3178,rolls/buns
2765,butter
4221,sausage
4265,rolls/buns
3532,other vegetables
1967,frankfurter
3474,newspapers
4075,turkey
1551,onions
4609,whole milk
1975,yogurt
4859,whipped/sour cream
1502,frozen vegetables
1901,citrus fruit
4487,onions
3364,sausage
2537,other vegetables
4719,frankfurter
2348,domestic eggs
4294,rolls/buns
3774,bottled beer
2250,waffles
3034,condensed milk
1799,canned beer
1278,meat
2837,whole milk
3056,liver loaf
2447,frankfurter
1452,chicken
4838,frankfurter
4822,pip fruit
2571,root vegetables
4310,pip fruit
2133,pork
3568,other vegetables
4474,pastry
3354,sausage
2389,processed cheese
1742,napkins
2574,meat
4498,pastry
4612,sausage
1075,pip fruit
1371,frozen vegetables
2960,citrus fruit
4434,other vegetables
1378,frankfurter
1615,sausage
2503,beef
2381,hamburger meat
1613,yogurt
1031,beverages
3200,whole milk
1138,rolls/buns
4958,tropical fruit
4858,citrus fruit
1616,whole milk
1270,citrus fruit
2347,soda
2076,frankfurter
3597,sausage
2151,napkins
2940,yogurt
3475,herbs
2715,sausage
3644,yogurt
4573,pork
1649,curd
4079,frankfurter
1844,frankfurter
1420,curd
2879,liver loaf
2440,pork
4095,specialty bar
2437,ice cream
1324,specialty bar
4184,yogurt
4574,frozen vegetables
4881,rolls/buns
3790,pastry
2616,pork
1275,curd
2131,beef
2509,yogurt
3077,chicken
3653,detergent
2922,pip fruit
2971,coffee
1463,tropical fruit
4323,sauces
2632,pork
1481,yogurt
1283,napkins
1164,other vegetables
4275,chicken
2600,pork
2084,root vegetables
1621,ham
1291,whole milk
3301,soda
2715,rolls/buns
4150,tropical fruit
1775,tropical fruit
2073,sausage
1912,bottled beer
4033,turkey
4877,meat
2590,whole milk
3982,soda
2782,rolls/buns
2100,dessert
1785,sausage
3166,pork
2251,hamburger meat
1528,sausage
2012,rolls/buns
3309,misc. beverages
1220,pastry
2165,soda
3337,whole milk
4058,domestic eggs
1000,soda
3357,pip fruit
2222,yogurt
1207,frankfurter
3511,specialty chocolate
2171,sausage
3078,oil
3879,tropical fruit
3472,citrus fruit
4519,napkins
3275,whole milk
1763,coffee
4619,tropical fruit
2955,canned beer
2700,bottled beer
2830,canned beer
4940,rum
1311,rolls/buns
4116,pastry
1476,whole milk
2918,grapes
4121,whole milk
1824,yogurt
4293,root vegetables
4308,pastry
2998,canned beer
2874,sausage
1281,tropical fruit
3471,frankfurter
1936,rolls/buns
4163,frankfurter
3369,sausage
2335,whole milk
3957,whole milk
4841,whole milk
2184,ham
3118,whole milk
4728,beef
2527,domestic eggs
2926,soda
1773,whole milk
1801,ham
1916,curd
2523,bottled water
2550,butter milk
1319,pork
1649,pork
2202,turkey
2569,cream cheese 
2925,tropical fruit
2293,rolls/buns
2190,citrus fruit
2234,frankfurter
4779,whipped/sour cream
3031,tropical fruit
4275,frankfurter
2696,sausage
4453,sausage
4776,sausage
3471,sliced cheese
3143,candy
4312,tropical fruit
3327,pip fruit
4344,citrus fruit
1718,hamburger meat
3041,other vegetables
4110,nuts/prunes
2947,ham
4280,ham
3022,butter
1941,napkins
4494,beef
2749,frankfurter
1241,meat
2066,whole milk
1777,sausage
2178,sausage
4727,rolls/buns
3433,root vegetables
3035,sausage
1464,sausage
4161,meat
2654,sausage
2206,citrus fruit
3950,chocolate
